article_positive,article_neutral,article_negative,para_positive,para_neutral,para_negative,sentence_positive,sentence_neutral,sentence_negative,type,text_segment,segment_id,BART_three,BART_five
,,,0.2881518006324768,0.1495477259159088,0.5623005032539368,,,,para_text,"Mr Rudd casts himself as underdog in a five-week campaign he says will be ""pretty rough"". When they reinstalled Mr Rudd as leader, Labor power-brokers aimed to escape the electoral drubbing that opinion polls showed the government faced when Ms Gillard was prime minister. Mr Rudd led Labor to power in 2007, ending 11 years of conservative government, only to be unseated as leader by Ms Gillard three years later. He took his revenge on June 26th to make a comeback as prime minister. In spite of Labor's turmoils, Mr Rudd's return has changed the party's game. ",A0-P2,Negative,Negative
,,,,,,0.10869638621807098,0.13227114081382751,0.7590324878692627,sentence_text,"Mr Rudd casts himself as underdog in a five-week campaign he says will be ""pretty rough"".",A0-P2-S0,Negative,Very negative
,,,,,,0.2634190320968628,0.11548160016536713,0.6210994124412537,sentence_text,"When they reinstalled Mr Rudd as leader, Labor power-brokers aimed to escape the electoral drubbing that opinion polls showed the government faced when Ms Gillard was prime minister.",A0-P2-S1,Negative,Negative
,,,,,,0.2663167715072632,0.1220073476433754,0.6116758584976196,sentence_text,"Mr Rudd led Labor to power in 2007, ending 11 years of conservative government, only to be unseated as leader by Ms Gillard three years later.",A0-P2-S2,Negative,Negative
,,,,,,0.4823532700538635,0.09864164143800735,0.4190051257610321,sentence_text,He took his revenge on June 26th to make a comeback as prime minister.,A0-P2-S3,Positive,Positive
,,,,,,0.5259509682655334,0.11359637975692749,0.36045265197753906,sentence_text,"In spite of Labor's turmoils, Mr Rudd's return has changed the party's game.",A0-P2-S4,Positive,Positive
,,,0.5426828265190125,0.12257063388824463,0.33474650979042053,,,,para_text,"It has turned the election into a competitive race against the conservative Liberal-National coalition and Tony Abbott, its leader. An opinion poll on August 5th, the day after Mr Rudd announced the election, showed Labor trailing the opposition by just four points, once second-preference votes were counted; the last poll under Ms Gillard had Labor 14 points behind. Other polls since Mr Rudd's return suggests that the parties are neck-and-neck. ",A0-P3,Positive,Positive
,,,,,,0.8036699295043945,0.044232163578271866,0.1520978808403015,sentence_text,"It has turned the election into a competitive race against the conservative Liberal-National coalition and Tony Abbott, its leader.",A0-P3-S0,Positive,Very positive
,,,,,,0.46338951587677,0.16880948841571808,0.3678010106086731,sentence_text,"An opinion poll on August 5th, the day after Mr Rudd announced the election, showed Labor trailing the opposition by just four points, once second-preference votes were counted; the last poll under Ms Gillard had Labor 14 points behind.",A0-P3-S1,Positive,Positive
,,,,,,0.36529991030693054,0.2374943345785141,0.39720574021339417,sentence_text,Other polls since Mr Rudd's return suggests that the parties are neck-and-neck.,A0-P3-S2,Negative,Negative
,,,0.484191358089447,0.15729044377803802,0.35851815342903137,,,,para_text,"Yet turning improvements in the polls into electoral victory will be hard. In the 150-seat House of Representatives, where government is decided, Labor holds 71 seats to 72 for the opposition parties. Two independents in New South Wales who supported Ms Gillard's minority government have stepped down, and the opposition seems likely to win both seats. Mr Rudd's salvation might lie in Mr Rudd's home state of Queensland. Voters there turned against Ms Gillard for her knifing of Mr Rudd. Peter Beattie, a former Queensland Labor state premier, reckons they will reward their favourite son's return with enough seats to offset losses elsewhere, delivering victory to Mr Rudd. Mr Beattie himself is coming out of retirement to contest an opposition-held seat. The political terrain is altered by the rise of small parties, such as the WikiLeaks Party, aiming to rob both Labor and the coalition of control of the Senate, the upper house. WikiLeaks's seven candidates include Julian Assange, standing for the Senate from the Ecuadorean embassy in London, where he is holed up fighting extradition to Sweden. ",A0-P4,Positive,Positive
,,,,,,0.319038450717926,0.15718971192836761,0.5237717628479004,sentence_text,Yet turning improvements in the polls into electoral victory will be hard.,A0-P4-S0,Negative,Negative
,,,,,,0.5536215305328369,0.0894191712141037,0.35695919394493103,sentence_text,"In the 150-seat House of Representatives, where government is decided, Labor holds 71 seats to 72 for the opposition parties.",A0-P4-S1,Positive,Positive
,,,,,,0.22647017240524292,0.17993038892745972,0.5935993790626526,sentence_text,"Two independents in New South Wales who supported Ms Gillard's minority government have stepped down, and the opposition seems likely to win both seats.",A0-P4-S2,Negative,Negative
,,,,,,0.6859576106071472,0.12777654826641083,0.18626584112644196,sentence_text,Mr Rudd's salvation might lie in Mr Rudd's home state of Queensland.,A0-P4-S3,Positive,Very positive
,,,,,,0.06459610164165497,0.018450669944286346,0.9169532656669617,sentence_text,Voters there turned against Ms Gillard for her knifing of Mr Rudd.,A0-P4-S4,Negative,Very negative
,,,,,,0.8287075161933899,0.0664374977350235,0.1048549935221672,sentence_text,"Peter Beattie, a former Queensland Labor state premier, reckons they will reward their favourite son's return with enough seats to offset losses elsewhere, delivering victory to Mr Rudd.",A0-P4-S5,Positive,Very positive
,,,,,,0.4237998425960541,0.15136249363422394,0.4248376488685608,sentence_text,Mr Beattie himself is coming out of retirement to contest an opposition-held seat.,A0-P4-S6,Negative,Negative
,,,,,,0.29554054141044617,0.12561340630054474,0.5788459777832031,sentence_text,"The political terrain is altered by the rise of small parties, such as the WikiLeaks Party, aiming to rob both Labor and the coalition of control of the Senate, the upper house.",A0-P4-S7,Negative,Negative
,,,,,,0.5262932181358337,0.12922406196594238,0.34448274970054626,sentence_text,"WikiLeaks's seven candidates include Julian Assange, standing for the Senate from the Ecuadorean embassy in London, where he is holed up fighting extradition to Sweden.",A0-P4-S8,Positive,Positive
,,,0.24382834136486053,0.1453259289264679,0.6108457446098328,,,,para_text,"Labor's campaign also faces an enemy in the two-thirds of Australia's big-city newspapers that are controlled by News Corporation, Rupert Murdoch's empire. Mr Murdoch made his stand plain in Sydney's Daily Telegraph, his most influential tabloid. Its first edition of the campaign covered the front page with the prime minister's picture and a call to readers to ""Kick This Mob Out"". Some say this fits Mr Murdoch's pattern of backing the candidate he thinks will win (the Telegraph supported Mr Rudd before his victory in 2007). The prime minister himself says the mogul's strategy is commercial. He told journalists in Brisbane that Mr Murdoch wanted ""his mate, Mr Abbott, in"" because a high-speed broadband network the government is building around Australia could ""challenge"" Foxtel, a cable-television company that News Corporation half-owns with Telstra, a telecoms giant. ",A0-P5,Negative,Negative
,,,,,,0.138919860124588,0.08248528093099594,0.7785948514938354,sentence_text,"Labor's campaign also faces an enemy in the two-thirds of Australia's big-city newspapers that are controlled by News Corporation, Rupert Murdoch's empire.",A0-P5-S0,Negative,Very negative
,,,,,,0.29522204399108887,0.18902915716171265,0.5157487988471985,sentence_text,"Mr Murdoch made his stand plain in Sydney's Daily Telegraph, his most influential tabloid.",A0-P5-S1,Negative,Negative
,,,,,,0.18447913229465485,0.052006933838129044,0.7635139226913452,sentence_text,"Its first edition of the campaign covered the front page with the prime minister's picture and a call to readers to ""Kick This Mob Out"".",A0-P5-S2,Negative,Very negative
,,,,,,0.5153000354766846,0.24683022499084473,0.2378697693347931,sentence_text,Some say this fits Mr Murdoch's pattern of backing the candidate he thinks will win (the Telegraph supported Mr Rudd before his victory in 2007).,A0-P5-S3,Positive,Positive
,,,,,,0.5783489942550659,0.14849348366260529,0.2731575071811676,sentence_text,The prime minister himself says the mogul's strategy is commercial.,A0-P5-S4,Positive,Positive
,,,,,,0.24821476638317108,0.10909966379404068,0.64268559217453,sentence_text,"He told journalists in Brisbane that Mr Murdoch wanted ""his mate, Mr Abbott, in"" because a high-speed broadband network the government is building around Australia could ""challenge"" Foxtel, a cable-television company that News Corporation half-owns with Telstra, a telecoms giant.",A0-P5-S5,Negative,Negative
,,,0.5473734736442566,0.14365100860595703,0.3089755177497864,,,,para_text,"But if Mr Rudd has clawed back voters' support, it is partly by racing Mr Abbott to the bottom on issues that resonate in the tabloids' heartlands, notably getting tough with asylum-seekers arriving in Australia by boat. Mr Rudd's plan to resettle them in Papua New Guinea, Australia's nearest northern neighbour, seems to have gone down well in Sydney's sprawling, multi-ethnic western suburbs, where Labor faces losses. Nationally, voters like Mr Rudd more than Mr Abbott: an early campaign poll gave him a 14-point lead as preferred prime minister. ",A0-P6,Positive,Positive
,,,,,,0.5452945828437805,0.13964685797691345,0.31505855917930603,sentence_text,"But if Mr Rudd has clawed back voters' support, it is partly by racing Mr Abbott to the bottom on issues that resonate in the tabloids' heartlands, notably getting tough with asylum-seekers arriving in Australia by boat.",A0-P6-S0,Positive,Positive
,,,,,,0.8757753968238831,0.04860047250986099,0.07562410086393356,sentence_text,"Mr Rudd's plan to resettle them in Papua New Guinea, Australia's nearest northern neighbour, seems to have gone down well in Sydney's sprawling, multi-ethnic western suburbs, where Labor faces losses.",A0-P6-S1,Positive,Very positive
,,,,,,0.6025729775428772,0.1440393477678299,0.2533877193927765,sentence_text,"Nationally, voters like Mr Rudd more than Mr Abbott: an early campaign poll gave him a 14-point lead as preferred prime minister.",A0-P6-S2,Positive,Positive
,,,0.2825702130794525,0.1862799972295761,0.5311498045921326,,,,para_text,"The leaders are likely to slug out most of the campaign over which of them can do a better job on the economy. On August 2nd the Treasury revised its outlook for growth in 2013-14 to 2.5%, slightly lower than its forecast three months ago. It projected a A$33 billion ($29 billion) drop in forecast tax revenues over the next four years, partly because of falling commodity prices and a slowdown in China, Australia's biggest trading partner. That leaves little room for big spending promises. The election could boil down to a contest between ""trust"", as Mr Rudd puts it, or ""who is more fair dinkum"", in Mr Abbott's spin.",A0-P7,Negative,Negative
,,,,,,0.3805675804615021,0.15757431089878082,0.4618580639362335,sentence_text,The leaders are likely to slug out most of the campaign over which of them can do a better job on the economy.,A0-P7-S0,Negative,Negative
,,,,,,0.307361364364624,0.350876122713089,0.341762512922287,sentence_text,"On August 2nd the Treasury revised its outlook for growth in 2013-14 to 2.5%, slightly lower than its forecast three months ago.",A0-P7-S1,Neutral,Neutral
,,,,,,0.05876411870121956,0.12926743924617767,0.8119685053825378,sentence_text,"It projected a A$33 billion ($29 billion) drop in forecast tax revenues over the next four years, partly because of falling commodity prices and a slowdown in China, Australia's biggest trading partner.",A0-P7-S2,Negative,Very negative
,,,,,,0.140329971909523,0.14780499041080475,0.7118650078773499,sentence_text,That leaves little room for big spending promises.,A0-P7-S3,Negative,Very negative
,,,,,,0.47967565059661865,0.11413632333278656,0.406188040971756,sentence_text,"The election could boil down to a contest between ""trust"", as Mr Rudd puts it, or ""who is more fair dinkum"", in Mr Abbott's spin.",A0-P7-S4,Positive,Positive
0.23274332284927368,0.14281786978244781,0.6244388222694397,,,,,,,text,"How not to be Canadian
IT HAS long been an article of faith among Canadians--just as it once was among Britons--that their commitment to an easygoing multicultural society protects them from home-grown Islamist terrorism. That belief was shattered this month when police charged 12 men and five youths with planning a wave of attacks, ranging from blowing up the Toronto Stock Exchange to storming the national public broadcaster and the Parliament buildings in Ottawa--and beheading the prime minister. 
All of the suspects involved were Canadian Muslims from the Toronto area, most of them of South Asian origin and two from Somalia. That prompted comparisons with the made-in-Britain London bombings of last July. This time, at least, the plot was foiled. An anti-terrorist squad from the Royal Canadian Mounted Police arrested 15 of the 17 on June 2nd. In a police sting operation, the suspects were held as they took delivery of three tonnes of ammonium-nitrate fertiliser which, the authorities say, they planned to use for bomb-making. The other two were already in jail, accused of smuggling weapons from the United States. Several of those arrested were worshippers at a shopfront mosque in Mississauga, a middle-class suburb of Toronto. The imam was the suspected ringleader. 
Even undetonated, the bombs sent shock waves not only across Canada but also across its southern border. They have prompted questions about immigration policy and the official approach of fostering diversity rather than integration. They are also likely to sharpen debate about the deployment of Canadian troops in Afghanistan, whose removal, it seems, would have been one of the main demands of the accused. In the United States, some pundits were quick to seize on the arrests as proof that Canada was a safe haven for terrorists and as justification for tighter border security.
The arrests were not a complete surprise. The previous week, Jack Hooper, a senior officer of the Canadian Security Intelligence Service, told a parliamentary committee that up to 60 groups and about 350 individuals were under surveillance because of suspected terrorist leanings. ""All of the circumstances that led to the London transit bombings, for example, are now resident in Canada,"" Mr Hooper said. Although Canada had not suffered a significant act of terrorism since the bombing in 1985 of an Air India flight from Montreal, which killed 329 people, he said that there was no room for complacency. 
Stephen Harper, the prime minister, has shown no inclination to make political use of the incident, which may dampen its impact. He joked about the threatened beheading, saying he could live with such threats ""as long as they don't come from my own caucus."" Peter Donolo, a political analyst, points out that if Mr Harper's Conservative Party is to turn its current minority status into a majority at the next election, it needs to win seats in cities that are home to large numbers of immigrants. Playing the race card, something Mr Harper might have been inclined to do in opposition, is not the way to do that. 
Mr Harper also knows that Canadians strongly support immigration, even though the proportion of foreign-born residents is among the highest in the world. A survey last month by Ipsos, a polling company, found that 75% of respondents believed immigrants had a good influence on their country, compared with only 54% in Australia, 52% in the United States and 43% in Britain. While suspicion of Muslim immigrants will now doubtless rise, it may not do so by much. ""Canadians are cautious and careful about pointing fingers. It is our nature,"" says John Wright of Ipsos. 
The attack is unlikely to cause Mr Harper to change policy towards Afghanistan, where Canada has some 2,300 troops, mostly engaged in security duties in the violent southern province of Kandahar. They were sent by the previous Liberal government, but Mr Harper recently sought and won a vote in Parliament to keep them there until 2009. 
The United States raised its state of alert on the Canadian border. But Condoleezza Rice, the secretary of state, hailed the arrests as ""a great success"" for Canada's counter-terrorism efforts. Co-ordination on counter-terrorism between the two countries is ""excellent"", she said. Christian Leuprecht, a security analyst at Canada's Royal Military College, suspects that American officials were tipped off in advance, giving them time to prepare their response. He says that, far from straining cross-border relations, the arrests will tend to persuade many in Washington, DC, that Canada is taking terrorism seriously. 
That may not stop some American politicians from making the most of a supposed threat from flabby, liberal Canada. In 1999, an Algerian-Canadian was held when he crossed the border in a car containing explosives and timing devices; he was jailed for planning to detonate a suitcase bomb at Los Angeles International Airport. After the terrorist attacks of September 11th, American officials temporarily imposed strict checks on vehicles crossing the border. The latest incident has probably put paid to already slender Canadian hopes of exemption from a law due to take effect in 2008 that will require Americans to hold a passport, rather than just a driving licence, to cross land borders. 
Canada remains one of the world's most tolerant countries. Yet it would be nave to imagine that nothing will change. Parliament is reviewing its own security precautions. For now, however unjustly, a cloud of suspicion hangs over the country's 750,000 Muslims (2% of the total population). A mosque was vandalised after the arrests, and more such incidents may follow. ""This is supposed to be a free and democratic society. You are supposed to be innocent until proven guilty,"" complained the father of one of the accused. But Canada was also supposed to be a country where the prime minister ran no risk of losing his head.",A1,Negative,Negative
,,,0.020773498341441154,0.10745345801115036,0.8717730045318604,,,,para_text,How not to be Canadian,A1-P0,Negative,Very negative
,,,,,,0.020773498341441154,0.10745345801115036,0.8717730045318604,sentence_text,How not to be Canadian,A1-P0-S0,Negative,Very negative
,,,0.21160103380680084,0.288540244102478,0.49985870718955994,,,,para_text,"IT HAS long been an article of faith among Canadians--just as it once was among Britons--that their commitment to an easygoing multicultural society protects them from home-grown Islamist terrorism. That belief was shattered this month when police charged 12 men and five youths with planning a wave of attacks, ranging from blowing up the Toronto Stock Exchange to storming the national public broadcaster and the Parliament buildings in Ottawa--and beheading the prime minister. ",A1-P1,Negative,Negative
,,,,,,0.6769013404846191,0.1630047857761383,0.16009382903575897,sentence_text,IT HAS long been an article of faith among Canadians--just as it once was among Britons--that their commitment to an easygoing multicultural society protects them from home-grown Islamist terrorism.,A1-P1-S0,Positive,Very positive
,,,,,,0.05751222372055054,0.10369357466697693,0.8387942314147949,sentence_text,"That belief was shattered this month when police charged 12 men and five youths with planning a wave of attacks, ranging from blowing up the Toronto Stock Exchange to storming the national public broadcaster and the Parliament buildings in Ottawa--and beheading the prime minister.",A1-P1-S1,Negative,Very negative
,,,0.5935275554656982,0.1078658252954483,0.2986065745353699,,,,para_text,"All of the suspects involved were Canadian Muslims from the Toronto area, most of them of South Asian origin and two from Somalia. That prompted comparisons with the made-in-Britain London bombings of last July. This time, at least, the plot was foiled. An anti-terrorist squad from the Royal Canadian Mounted Police arrested 15 of the 17 on June 2nd. In a police sting operation, the suspects were held as they took delivery of three tonnes of ammonium-nitrate fertiliser which, the authorities say, they planned to use for bomb-making. The other two were already in jail, accused of smuggling weapons from the United States. Several of those arrested were worshippers at a shopfront mosque in Mississauga, a middle-class suburb of Toronto. The imam was the suspected ringleader. ",A1-P2,Positive,Positive
,,,,,,0.2718724310398102,0.09416931867599487,0.6339582204818726,sentence_text,"All of the suspects involved were Canadian Muslims from the Toronto area, most of them of South Asian origin and two from Somalia.",A1-P2-S0,Negative,Negative
,,,,,,0.052969031035900116,0.08873914182186127,0.8582918047904968,sentence_text,That prompted comparisons with the made-in-Britain London bombings of last July.,A1-P2-S1,Negative,Very negative
,,,,,,0.6589164137840271,0.0931875929236412,0.2478960007429123,sentence_text,"This time, at least, the plot was foiled.",A1-P2-S2,Positive,Positive
,,,,,,0.3481977581977844,0.0620260164141655,0.5897762179374695,sentence_text,An anti-terrorist squad from the Royal Canadian Mounted Police arrested 15 of the 17 on June 2nd.,A1-P2-S3,Negative,Negative
,,,,,,0.29786327481269836,0.16597139835357666,0.5361652970314026,sentence_text,"In a police sting operation, the suspects were held as they took delivery of three tonnes of ammonium-nitrate fertiliser which, the authorities say, they planned to use for bomb-making.",A1-P2-S4,Negative,Negative
,,,,,,0.2620803415775299,0.14897769689559937,0.5889419317245483,sentence_text,"The other two were already in jail, accused of smuggling weapons from the United States.",A1-P2-S5,Negative,Negative
,,,,,,0.2955026626586914,0.152019202709198,0.5524781346321106,sentence_text,"Several of those arrested were worshippers at a shopfront mosque in Mississauga, a middle-class suburb of Toronto.",A1-P2-S6,Negative,Negative
,,,,,,0.3396226763725281,0.08669405430555344,0.5736832618713379,sentence_text,The imam was the suspected ringleader.,A1-P2-S7,Negative,Negative
,,,0.28928595781326294,0.10386867821216583,0.6068454384803772,,,,para_text,"Even undetonated, the bombs sent shock waves not only across Canada but also across its southern border. They have prompted questions about immigration policy and the official approach of fostering diversity rather than integration. They are also likely to sharpen debate about the deployment of Canadian troops in Afghanistan, whose removal, it seems, would have been one of the main demands of the accused. In the United States, some pundits were quick to seize on the arrests as proof that Canada was a safe haven for terrorists and as justification for tighter border security.",A1-P3,Negative,Negative
,,,,,,0.13396568596363068,0.09738405793905258,0.768650233745575,sentence_text,"Even undetonated, the bombs sent shock waves not only across Canada but also across its southern border.",A1-P3-S0,Negative,Very negative
,,,,,,0.11615051329135895,0.22015255689620972,0.6636968851089478,sentence_text,They have prompted questions about immigration policy and the official approach of fostering diversity rather than integration.,A1-P3-S1,Negative,Negative
,,,,,,0.25627774000167847,0.1574794054031372,0.5862429141998291,sentence_text,"They are also likely to sharpen debate about the deployment of Canadian troops in Afghanistan, whose removal, it seems, would have been one of the main demands of the accused.",A1-P3-S2,Negative,Negative
,,,,,,0.08476929366588593,0.06034036725759506,0.8548903465270996,sentence_text,"In the United States, some pundits were quick to seize on the arrests as proof that Canada was a safe haven for terrorists and as justification for tighter border security.",A1-P3-S3,Negative,Very negative
,,,0.2803994119167328,0.1314120590686798,0.5881885290145874,,,,para_text,"The arrests were not a complete surprise. The previous week, Jack Hooper, a senior officer of the Canadian Security Intelligence Service, told a parliamentary committee that up to 60 groups and about 350 individuals were under surveillance because of suspected terrorist leanings. ""All of the circumstances that led to the London transit bombings, for example, are now resident in Canada,"" Mr Hooper said. Although Canada had not suffered a significant act of terrorism since the bombing in 1985 of an Air India flight from Montreal, which killed 329 people, he said that there was no room for complacency. ",A1-P4,Negative,Negative
,,,,,,0.23175446689128876,0.13837489485740662,0.629870593547821,sentence_text,The arrests were not a complete surprise.,A1-P4-S0,Negative,Negative
,,,,,,0.2725857198238373,0.0614316463470459,0.6659826040267944,sentence_text,"The previous week, Jack Hooper, a senior officer of the Canadian Security Intelligence Service, told a parliamentary committee that up to 60 groups and about 350 individuals were under surveillance because of suspected terrorist leanings.",A1-P4-S1,Negative,Negative
,,,,,,0.17917504906654358,0.133698508143425,0.6871263980865479,sentence_text,"""All of the circumstances that led to the London transit bombings, for example, are now resident in Canada,"" Mr Hooper said.",A1-P4-S2,Negative,Very negative
,,,,,,0.25648197531700134,0.13430729508399963,0.609210729598999,sentence_text,"Although Canada had not suffered a significant act of terrorism since the bombing in 1985 of an Air India flight from Montreal, which killed 329 people, he said that there was no room for complacency.",A1-P4-S3,Negative,Negative
,,,0.3362506628036499,0.23158811032772064,0.43216121196746826,,,,para_text,"Stephen Harper, the prime minister, has shown no inclination to make political use of the incident, which may dampen its impact. He joked about the threatened beheading, saying he could live with such threats ""as long as they don't come from my own caucus."" Peter Donolo, a political analyst, points out that if Mr Harper's Conservative Party is to turn its current minority status into a majority at the next election, it needs to win seats in cities that are home to large numbers of immigrants. Playing the race card, something Mr Harper might have been inclined to do in opposition, is not the way to do that. ",A1-P5,Negative,Negative
,,,,,,0.15240012109279633,0.2041250616312027,0.6434747576713562,sentence_text,"Stephen Harper, the prime minister, has shown no inclination to make political use of the incident, which may dampen its impact.",A1-P5-S0,Negative,Negative
,,,,,,0.2865731418132782,0.23687925934791565,0.47654756903648376,sentence_text,"He joked about the threatened beheading, saying he could live with such threats ""as long as they don't come from my own caucus.""",A1-P5-S1,Negative,Negative
,,,,,,0.5021154284477234,0.16086624562740326,0.33701837062835693,sentence_text,"Peter Donolo, a political analyst, points out that if Mr Harper's Conservative Party is to turn its current minority status into a majority at the next election, it needs to win seats in cities that are home to large numbers of immigrants.",A1-P5-S2,Positive,Positive
,,,,,,0.09010911732912064,0.050705812871456146,0.8591850399971008,sentence_text,"Playing the race card, something Mr Harper might have been inclined to do in opposition, is not the way to do that.",A1-P5-S3,Negative,Very negative
,,,0.4877431094646454,0.26912060379981995,0.24313625693321228,,,,para_text,"Mr Harper also knows that Canadians strongly support immigration, even though the proportion of foreign-born residents is among the highest in the world. A survey last month by Ipsos, a polling company, found that 75% of respondents believed immigrants had a good influence on their country, compared with only 54% in Australia, 52% in the United States and 43% in Britain. While suspicion of Muslim immigrants will now doubtless rise, it may not do so by much. ""Canadians are cautious and careful about pointing fingers. It is our nature,"" says John Wright of Ipsos. ",A1-P6,Positive,Positive
,,,,,,0.5653573274612427,0.21169090270996094,0.22295179963111877,sentence_text,"Mr Harper also knows that Canadians strongly support immigration, even though the proportion of foreign-born residents is among the highest in the world.",A1-P6-S0,Positive,Positive
