segment_id,luigi,tano,fabio,federico,rachel,utsav,khwaja,joshua
A3-P8-S1,,,,Negative,,,,Neutral
A3-P8-S2,,,,Neutral,,,,Neutral
A3-P8-S3,,,,Neutral,,,,Neutral
A3-P8-S4,,,,Neutral,,,,Neutral
A3-P9,,,,Very positive,,,,Very positive
A3-P9-S0,,,,Very positive,,,,Positive
A3-P9-S1,,,,Very positive,,,,Positive
A3-P9-S2,,,,Very positive,,,,Positive
A3-P9-S3,,,,Positive,,,,Positive
A3-P9-S4,,,,Positive,,,,Neutral
A3-P9-S5,,,,Neutral,,,,Neutral
A3-P9-S6,,,,Neutral,,,,Neutral
A3-P9-S7,,,,Positive,,,,Positive
A3-P10,,,,Very positive,,,,Very positive
A3-P10-S0,,,,Neutral,,,,Neutral
A3-P10-S1,,,,Very positive,,,,Positive
A3-P10-S2,,,,Very positive,,,,Neutral
A3-P10-S3,,,,Very positive,,,,Neutral
A3-P10-S4,,,,Positive,,,,Neutral
A3-P10-S5,,,,Very positive,,,,Positive
A3-P10-S6,,,,Very positive,,,,Neutral
A3-P10-S7,,,,Positive,,,,Positive
A3-P10-S8,,,,Positive,,,,Very positive
A3-P11,,,,Neutral,,,,Neutral
A3-P11-S0,,,,Neutral,,,,Neutral
A3-P12,,,,Neutral,,,,Neutral
A3-P12-S0,,,,Neutral,,,,Neutral
A3-P12-S1,,,,Neutral,,,,Neutral
A3-P12-S2,,,,Neutral,,,,Neutral
A3-P12-S3,,,,Neutral,,,,Neutral
A3-P13,,,,Neutral,,,,Neutral
A3-P13-S0,,,,Neutral,,,,Neutral
A3-P13-S1,,,,Neutral,,,,Neutral
A3-P13-S2,,,,Neutral,,,,Neutral
A3-P13-S3,,,,Neutral,,,,Neutral
A4,,,,Negative,Negative,Neutral,Negative,Negative
A4-P0,,,,Neutral,,,,Neutral
A4-P0-S0,,,,Neutral,,,,Neutral
A4-P1,,,,Very negative,,,,Negative
A4-P1-S0,,,,Very negative,,,,Negative
A4-P1-S1,,,,Very negative,,,,Negative
A4-P2,,,,Negative,,,,Very negative
A4-P2-S0,,,,Negative,,,,Very negative
A4-P2-S1,,,,Neutral,,,,Negative
A4-P2-S2,,,,Very negative,,,,Very negative
A4-P3,,,,Very negative,,,,Neutral
A4-P3-S0,,,,Neutral,,,,Neutral
A4-P3-S1,,,,Neutral,,,,Neutral
A4-P3-S2,,,,Negative,,,,Neutral
A4-P3-S3,,,,Negative,,,,Neutral
A4-P3-S4,,,,Very negative,,,,Neutral
A4-P4,,,,Negative,,,,Very negative
A4-P4-S0,,,,Very negative,,,,Very negative
A4-P4-S1,,,,Neutral,,,,Neutral
A4-P4-S2,,,,Neutral,,,,Neutral
A4-P4-S3,,,,Neutral,,,,Neutral
A4-P5,,,,Neutral,,,,Neutral
A4-P5-S0,,,,Neutral,,,,Neutral
A4-P5-S1,,,,Neutral,,,,Neutral
A4-P5-S2,,,,Neutral,,,,Neutral
A4-P6,,,,Neutral,,,,Neutral
A4-P6-S0,,,,Neutral,,,,Neutral
A4-P6-S1,,,,Neutral,,,,Neutral
A4-P6-S2,,,,Neutral,,,,Neutral
A4-P7,,,,Negative,,,,Negative
A4-P7-S0,,,,Negative,,,,Neutral
A4-P7-S1,,,,Negative,,,,Negative
A4-P7-S2,,,,Negative,,,,Negative
A4-P7-S3,,,,Negative,,,,Neutral
A4-P8,,,,Neutral,,,,Positive
A4-P8-S0,,,,Neutral,,,,Neutral
A4-P8-S1,,,,Positive,,,,Neutral
A4-P8-S2,,,,Neutral,,,,Positive
A4-P8-S3,,,,Neutral,,,,Positive
A4-P8-S4,,,,Neutral,,,,Positive
A4-P9,,,,Neutral,,,,Positive
A4-P9-S0,,,,Neutral,,,,Positive
A4-P9-S1,,,,Neutral,,,,Positive
A4-P9-S2,,,,Neutral,,,,Positive
A4-P10,,,,Neutral,,,,Neutral
A4-P10-S0,,,,Neutral,,,,Neutral
A4-P10-S1,,,,Neutral,,,,Neutral
A5,,,,Negative,,Negative,Neutral,Very negative
A5-P0,,,,,,,,
A5-P0-S0,,,,,,,,
A5-P1,,,,,,,,
A5-P1-S0,,,,,,,,
A5-P1-S1,,,,,,,,
A5-P1-S2,,,,,,,,
A5-P1-S3,,,,,,,,
A5-P1-S4,,,,,,,,
A5-P1-S5,,,,,,,,
A5-P2,,,,,,,,
A5-P2-S0,,,,,,,,
A5-P2-S1,,,,,,,,
A5-P2-S2,,,,,,,,
A5-P2-S3,,,,,,,,
A5-P3,,,,,,,,
A5-P3-S0,,,,,,,,
A5-P3-S1,,,,,,,,
A5-P3-S2,,,,,,,,
A5-P3-S3,,,,,,,,
A5-P3-S4,,,,,,,,
A5-P4,,,,,,,,
A5-P4-S0,,,,,,,,
A5-P5,,,,,,,,
A5-P5-S0,,,,,,,,
A5-P5-S1,,,,,,,,
A5-P5-S2,,,,,,,,
A5-P5-S3,,,,,,,,
A5-P5-S4,,,,,,,,
A5-P6,,,,,,,,
A5-P6-S0,,,,,,,,
A5-P6-S1,,,,,,,,
A5-P6-S2,,,,,,,,
A5-P6-S3,,,,,,,,
A5-P6-S4,,,,,,,,
A5-P7,,,,,,,,
A5-P7-S0,,,,,,,,
A5-P7-S1,,,,,,,,
A5-P7-S2,,,,,,,,
A5-P7-S3,,,,,,,,
A5-P7-S4,,,,,,,,
A5-P7-S5,,,,,,,,
A5-P8,,,,,,,,
A5-P8-S0,,,,,,,,
A5-P9,,,,,,,,
A5-P9-S0,,,,,,,,
A5-P9-S1,,,,,,,,
A5-P9-S2,,,,,,,,
A5-P9-S3,,,,,,,,
A5-P9-S4,,,,,,,,
A5-P10,,,,,,,,
A5-P10-S0,,,,,,,,
A5-P10-S1,,,,,,,,
A5-P10-S2,,,,,,,,
A5-P10-S3,,,,,,,,
A5-P10-S4,,,,,,,,
A5-P10-S5,,,,,,,,
A5-P11,,,,,,,,
A5-P11-S0,,,,,,,,
A5-P11-S1,,,,,,,,
A5-P11-S2,,,,,,,,
A5-P11-S3,,,,,,,,
A5-P11-S4,,,,,,,,
A6,,,,Very negative,,Negative,Negative,Negative
A6-P0,,,,,,,,
A6-P0-S0,,,,,,,,
A6-P1,,,,,,,,
A6-P1-S0,,,,,,,,
A6-P2,,,,,,,,
A6-P2-S0,,,,,,,,
A6-P2-S1,,,,,,,,
A6-P2-S2,,,,,,,,
A6-P2-S3,,,,,,,,
A6-P2-S4,,,,,,,,
A6-P3,,,,,,,,
A6-P3-S0,,,,,,,,
A6-P3-S1,,,,,,,,
A6-P3-S2,,,,,,,,
A6-P3-S3,,,,,,,,
A6-P3-S4,,,,,,,,
A6-P3-S5,,,,,,,,
A6-P4,,,,,,,,
A6-P4-S0,,,,,,,,
A6-P4-S1,,,,,,,,
A6-P5,,,,,,,,
A6-P5-S0,,,,,,,,
A6-P5-S1,,,,,,,,
A6-P5-S2,,,,,,,,
A6-P5-S3,,,,,,,,
A6-P6,,,,,,,,
A6-P6-S0,,,,,,,,
A6-P6-S1,,,,,,,,
A6-P7,,,,,,,,
A6-P7-S0,,,,,,,,
A6-P7-S1,,,,,,,,
A6-P7-S2,,,,,,,,
A6-P7-S3,,,,,,,,
A6-P8,,,,,,,,
A6-P8-S0,,,,,,,,
A6-P8-S1,,,,,,,,
A6-P9,,,,,,,,
A6-P9-S0,,,,,,,,
A7,,,,Negative,,Negative,Negative,Negative
A7-P0,,,,,,,,
A7-P0-S0,,,,,,,,
A7-P1,,,,,,,,
A7-P1-S0,,,,,,,,
A7-P1-S1,,,,,,,,
A7-P1-S2,,,,,,,,
A7-P1-S3,,,,,,,,
A7-P2,,,,,,,,
A7-P2-S0,,,,,,,,
A7-P2-S1,,,,,,,,
A7-P2-S2,,,,,,,,
A7-P2-S3,,,,,,,,
A7-P3,,,,,,,,
A7-P3-S0,,,,,,,,
A7-P3-S1,,,,,,,,
A7-P3-S2,,,,,,,,
A7-P3-S3,,,,,,,,
A7-P4,,,,,,,,
A7-P4-S0,,,,,,,,
A7-P4-S1,,,,,,,,
A7-P4-S2,,,,,,,,
A7-P4-S3,,,,,,,,
A7-P4-S4,,,,,,,,
A7-P4-S5,,,,,,,,
A7-P4-S6,,,,,,,,
A7-P4-S7,,,,,,,,
A7-P5,,,,,,,,
A7-P5-S0,,,,,,,,
A7-P5-S1,,,,,,,,
A7-P5-S2,,,,,,,,
A7-P5-S3,,,,,,,,
A7-P6,,,,,,,,
A7-P6-S0,,,,,,,,
A7-P6-S1,,,,,,,,
A7-P6-S2,,,,,,,,
A7-P6-S3,,,,,,,,
A7-P6-S4,,,,,,,,
A7-P6-S5,,,,,,,,
A7-P6-S6,,,,,,,,
A7-P7,,,,,,,,
A7-P7-S0,,,,,,,,
A7-P7-S1,,,,,,,,
A7-P7-S2,,,,,,,,
A7-P7-S3,,,,,,,,
A7-P8,,,,,,,,
A7-P8-S0,,,,,,,,
A7-P8-S1,,,,,,,,
A7-P8-S2,,,,,,,,
A7-P8-S3,,,,,,,,
A7-P8-S4,,,,,,,,
A7-P9,,,,,,,,
A7-P9-S0,,,,,,,,
A7-P9-S1,,,,,,,,
A7-P9-S2,,,,,,,,
A7-P9-S3,,,,,,,,
A7-P9-S4,,,,,,,,
A7-P9-S5,,,,,,,,
A7-P10,,,,,,,,
A7-P10-S0,,,,,,,,
A7-P10-S1,,,,,,,,
A7-P10-S2,,,,,,,,
A7-P10-S3,,,,,,,,
A7-P10-S4,,,,,,,,
A7-P10-S5,,,,,,,,
A7-P11,,,,,,,,
A7-P11-S0,,,,,,,,
A7-P11-S1,,,,,,,,
A7-P11-S2,,,,,,,,
A7-P11-S3,,,,,,,,
A7-P11-S4,,,,,,,,
A7-P11-S5,,,,,,,,
A7-P11-S6,,,,,,,,
A7-P12,,,,,,,,
A7-P12-S0,,,,,,,,
A7-P12-S1,,,,,,,,
A7-P12-S2,,,,,,,,
A7-P12-S3,,,,,,,,
A8,,,,Neutral,,Positive,Neutral,Neutral
A8-P0,,,,,,,,
A8-P0-S0,,,,,,,,
A8-P0-S1,,,,,,,,
A8-P1,,,,,,,,
A8-P1-S0,,,,,,,,
A8-P1-S1,,,,,,,,
A8-P1-S2,,,,,,,,
A8-P1-S3,,,,,,,,
A8-P1-S4,,,,,,,,
A8-P1-S5,,,,,,,,
A8-P1-S6,,,,,,,,
A8-P1-S7,,,,,,,,
A8-P2,,,,,,,,
A8-P2-S0,,,,,,,,
A8-P2-S1,,,,,,,,
A8-P2-S2,,,,,,,,
A8-P2-S3,,,,,,,,
A8-P3,,,,,,,,
A8-P3-S0,,,,,,,,
A8-P3-S1,,,,,,,,
A8-P3-S2,,,,,,,,
A8-P4,,,,,,,,
A8-P4-S0,,,,,,,,
A8-P4-S1,,,,,,,,
A8-P4-S2,,,,,,,,
A8-P4-S3,,,,,,,,
A8-P4-S4,,,,,,,,
A8-P4-S5,,,,,,,,
A9,,,,Neutral,,Positive,Positive,Positive
A9-P0,,,,,,,,
A9-P0-S0,,,,,,,,
A9-P0-S1,,,,,,,,
A9-P0-S2,,,,,,,,
A9-P0-S3,,,,,,,,
A9-P1,,,,,,,,
A9-P1-S0,,,,,,,,
A9-P1-S1,,,,,,,,
A9-P1-S2,,,,,,,,
A9-P1-S3,,,,,,,,
A9-P1-S4,,,,,,,,
A9-P1-S5,,,,,,,,
A9-P2,,,,,,,,
A9-P2-S0,,,,,,,,
A9-P2-S1,,,,,,,,
A9-P2-S2,,,,,,,,
A9-P2-S3,,,,,,,,
A9-P2-S4,,,,,,,,
A9-P2-S5,,,,,,,,
A9-P2-S6,,,,,,,,
A9-P3,,,,,,,,
A9-P3-S0,,,,,,,,
A9-P3-S1,,,,,,,,
A9-P3-S2,,,,,,,,
A9-P3-S3,,,,,,,,
A9-P4,,,,,,,,
A9-P4-S0,,,,,,,,
A9-P4-S1,,,,,,,,
A9-P4-S2,,,,,,,,
A9-P4-S3,,,,,,,,
A9-P4-S4,,,,,,,,
A9-P4-S5,,,,,,,,
A9-P4-S6,,,,,,,,
A9-P5,,,,,,,,
A9-P5-S0,,,,,,,,
A9-P5-S1,,,,,,,,
A9-P5-S2,,,,,,,,
A9-P5-S3,,,,,,,,
A9-P5-S4,,,,,,,,
A9-P5-S5,,,,,,,,
A9-P5-S6,,,,,,,,
A9-P6,,,,,,,,
A9-P6-S0,,,,,,,,
A9-P6-S1,,,,,,,,
A9-P7,,,,,,,,
A9-P7-S0,,,,,,,,
A9-P7-S1,,,,,,,,
A9-P7-S2,,,,,,,,
A9-P7-S3,,,,,,,,
A9-P8,,,,,,,,
A9-P8-S0,,,,,,,,
A9-P8-S1,,,,,,,,
A9-P8-S2,,,,,,,,
A9-P9,,,,,,,,
A9-P9-S0,,,,,,,,
A9-P9-S1,,,,,,,,
A9-P9-S2,,,,,,,,
A9-P9-S3,,,,,,,,
A10,,,,Negative,,Neutral,Neutral,Neutral
A10-P0,,,,,,,,
A10-P0-S0,,,,,,,,
A10-P1,,,,,,,,
A10-P1-S0,,,,,,,,
A10-P1-S1,,,,,,,,
A10-P1-S2,,,,,,,,
A10-P1-S3,,,,,,,,
A10-P1-S4,,,,,,,,
A10-P1-S5,,,,,,,,
A10-P1-S6,,,,,,,,
A10-P1-S7,,,,,,,,
A10-P2,,,,,,,,
A10-P2-S0,,,,,,,,
A10-P2-S1,,,,,,,,
A10-P2-S2,,,,,,,,
A10-P2-S3,,,,,,,,
A10-P2-S4,,,,,,,,
A10-P2-S5,,,,,,,,
A10-P2-S6,,,,,,,,
A10-P3,,,,,,,,
A10-P3-S0,,,,,,,,
A10-P3-S1,,,,,,,,
A10-P3-S2,,,,,,,,
A10-P4,,,,,,,,
A10-P4-S0,,,,,,,,
A10-P4-S1,,,,,,,,
A10-P4-S2,,,,,,,,
A10-P5,,,,,,,,
A10-P5-S0,,,,,,,,
A10-P5-S1,,,,,,,,
A10-P5-S2,,,,,,,,
A10-P5-S3,,,,,,,,
A10-P5-S4,,,,,,,,
A10-P5-S5,,,,,,,,
A10-P5-S6,,,,,,,,
A10-P6,,,,,,,,
A10-P6-S0,,,,,,,,
A10-P6-S1,,,,,,,,
A10-P6-S2,,,,,,,,
A10-P6-S3,,,,,,,,
A10-P6-S4,,,,,,,,
A10-P6-S5,,,,,,,,
A10-P6-S6,,,,,,,,
A10-P6-S7,,,,,,,,
A10-P6-S8,,,,,,,,
A10-P7,,,,,,,,
A10-P7-S0,,,,,,,,
A10-P7-S1,,,,,,,,
A10-P7-S2,,,,,,,,
A10-P7-S3,,,,,,,,
A10-P8,,,,,,,,
A10-P8-S0,,,,,,,,
A10-P9,,,,,,,,
A10-P9-S0,,,,,,,,
A10-P9-S1,,,,,,,,
A10-P9-S2,,,,,,,,
A10-P9-S3,,,,,,,,
A10-P9-S4,,,,,,,,
A10-P9-S5,,,,,,,,
A10-P9-S6,,,,,,,,
A10-P9-S7,,,,,,,,
A10-P9-S8,,,,,,,,
A11,,,,Very negative,,Negative,Very negative,Negative
A11-P0,,,,,,,,
A11-P0-S0,,,,,,,,
A11-P1,,,,,,,,
A11-P1-S0,,,,,,,,
A11-P1-S1,,,,,,,,
A11-P1-S2,,,,,,,,
A11-P1-S3,,,,,,,,
A11-P1-S4,,,,,,,,
A11-P2,,,,,,,,
A11-P2-S0,,,,,,,,
A11-P2-S1,,,,,,,,
A11-P2-S2,,,,,,,,
A11-P3,,,,,,,,
A11-P3-S0,,,,,,,,
A11-P3-S1,,,,,,,,
A11-P3-S2,,,,,,,,
A11-P4,,,,,,,,
A11-P4-S0,,,,,,,,
A11-P4-S1,,,,,,,,
A11-P4-S2,,,,,,,,
A11-P4-S3,,,,,,,,
A11-P5,,,,,,,,
A11-P5-S0,,,,,,,,
A11-P5-S1,,,,,,,,
A11-P5-S2,,,,,,,,
A11-P6,,,,,,,,
A11-P6-S0,,,,,,,,
A11-P6-S1,,,,,,,,
A11-P6-S2,,,,,,,,
A11-P6-S3,,,,,,,,
A11-P6-S4,,,,,,,,
A11-P7,,,,,,,,
A11-P7-S0,,,,,,,,
A11-P7-S1,,,,,,,,
A11-P7-S2,,,,,,,,
A11-P7-S3,,,,,,,,
A11-P7-S4,,,,,,,,
A11-P8,,,,,,,,
A11-P8-S0,,,,,,,,
A11-P8-S1,,,,,,,,
A11-P8-S2,,,,,,,,
A11-P8-S3,,,,,,,,
A11-P8-S4,,,,,,,,
A12,,,,Very positive,,Neutral,Neutral,Positive
A12-P0,,,,,,,,
A12-P0-S0,,,,,,,,
A12-P1,,,,,,,,
A12-P1-S0,,,,,,,,
A12-P1-S1,,,,,,,,
A12-P1-S2,,,,,,,,
A12-P2,,,,,,,,
A12-P2-S0,,,,,,,,
A12-P2-S1,,,,,,,,
A12-P2-S2,,,,,,,,
A12-P3,,,,,,,,
A12-P3-S0,,,,,,,,
A12-P3-S1,,,,,,,,
A12-P3-S2,,,,,,,,
A12-P3-S3,,,,,,,,
A12-P3-S4,,,,,,,,
A12-P3-S5,,,,,,,,
A12-P3-S6,,,,,,,,
A12-P3-S7,,,,,,,,
A12-P3-S8,,,,,,,,
A12-P4,,,,,,,,
A12-P4-S0,,,,,,,,
A12-P4-S1,,,,,,,,
A12-P4-S2,,,,,,,,
A12-P4-S3,,,,,,,,
A12-P4-S4,,,,,,,,
A12-P5,,,,,,,,
A12-P5-S0,,,,,,,,
A12-P5-S1,,,,,,,,
A12-P5-S2,,,,,,,,
A12-P5-S3,,,,,,,,
A12-P5-S4,,,,,,,,
A12-P5-S5,,,,,,,,
A12-P6,,,,,,,,
A12-P6-S0,,,,,,,,
A12-P6-S1,,,,,,,,
A12-P6-S2,,,,,,,,
A12-P6-S3,,,,,,,,
A12-P6-S4,,,,,,,,
A12-P6-S5,,,,,,,,
A12-P7,,,,,,,,
A12-P7-S0,,,,,,,,
A12-P7-S1,,,,,,,,
A12-P7-S2,,,,,,,,
A12-P7-S3,,,,,,,,
A12-P7-S4,,,,,,,,
A12-P8,,,,,,,,
A12-P8-S0,,,,,,,,
A12-P8-S1,,,,,,,,
A12-P8-S2,,,,,,,,
A12-P8-S3,,,,,,,,
A12-P9,,,,,,,,
A12-P9-S0,,,,,,,,
A12-P9-S1,,,,,,,,
A12-P9-S2,,,,,,,,
A12-P9-S3,,,,,,,,
